,date,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt,usdval,usdcnt
0,1925-12-31,,,,,,12.46,27487487.200000003,503.0,,
1,1926-01-30,0.0005610363,-0.001395089,0.02317378,0.02139536,0.02247191,12.74,27624240.8,506.0,27412916.200000003,496.0
2,1926-02-27,-0.03304553,-0.03658723,-0.05351035,-0.05554722,-0.04395605,12.18,26752064.1,514.0,27600952.1,500.0
3,1926-03-31,-0.06400222,-0.07002128,-0.09682397,-0.1014043,-0.0591133,11.46,25083173.400000002,519.0,26683758.1,507.0
4,1926-04-30,0.03702872,0.03404304,0.03297504,0.03015595,0.02268761,11.72,25886743.8,521.0,24920555.6,513.0
5,1926-05-28,0.01209523,0.008584509,0.001035173,-0.001751632,0.007679181,11.81,26187807.900000002,525.0,25742578.1,515.0
6,1926-06-30,0.05366369,0.04618894,0.05048731,0.04454267,0.04318374,12.32,27537177.200000003,526.0,26092831.0,520.0
7,1926-07-31,0.0314107,0.02922447,0.0130506,0.01081937,0.04545455,12.88,28009656.5,520.0,27049400.900000002,510.0
8,1926-08-31,0.02864728,0.02535763,0.03100235,0.02899688,0.01708074,13.1,29042482.900000002,532.0,27925440.3,516.0
9,1926-09-30,0.00578737,3.00449e-05,-0.00649892,-0.01123856,0.02290076,13.4,28919740.6,529.0,28889963.1,527.0
10,1926-10-30,-0.02899619,-0.03106881,-0.03462975,-0.03678381,-0.03134328,12.98,28100520.5,536.0,28766034.5,525.0
11,1926-11-30,0.02855394,0.0229787,0.02477618,0.02222152,0.02234207,13.27,28900725.0,535.0,27853592.200000003,530.0
12,1926-12-31,0.029211,0.0214219,0.0255156,0.01906711,0.01657875,13.49,30273387.200000003,540.0,28886334.0,533.0
13,1927-01-31,0.002416228,5.323664999999999e-05,0.01255591,0.01012223,-0.02075612,13.21,30457880.900000002,544.0,30266794.400000002,536.0
14,1927-02-28,0.0453701,0.04117489,0.05574803,0.05337166,0.04769114,13.84,31953471.3,546.0,30431359.700000003,538.0
15,1927-03-31,0.003756279,-0.002241672,-0.01928987,-0.02417962,0.006502890000000001,13.93,31914640.1,548.0,31819948.200000003,541.0
16,1927-04-30,0.007225051000000001,0.005134092000000001,0.00749361,0.005304912,0.017229,14.17,32173935.3,550.0,31791256.6,542.0
17,1927-05-31,0.05777311,0.05362266,0.06269069000000001,0.05955702,0.05222301,14.91,34245736.1,555.0,32069194.8,545.0
18,1927-06-30,-0.02108671,-0.02740624,-0.01970762,-0.02517774,-0.009389671,14.77,33526101.200000003,564.0,34204273.800000004,551.0
19,1927-07-30,0.07527909,0.07286946,0.05808011,0.05568594,0.06499662,15.73,35804068.4,559.0,33356951.1,554.0
20,1927-08-31,0.02249037,0.01843828,0.004246929,0.002091724,0.04450095,16.43,36645466.7,563.0,35541619.2,551.0
21,1927-09-30,0.04992352,0.04500271,0.03230819,0.02756283,0.04321363,17.14,39953116.6,578.0,36568812.4,559.0
22,1927-10-31,-0.0407699,-0.0425937,-0.0385285,-0.04034292,-0.05309218,16.23,38150716.1,581.0,39709539.9,572.0
23,1927-11-30,0.06845258,0.06329948,0.09775829,0.09537531,0.06777573,17.33,40447439.400000006,583.0,37848373.7,574.0
24,1927-12-31,0.02378212,0.01820621,0.02967718,0.02448454,0.01904212,17.66,41806899.300000004,588.0,40272832.2,579.0
25,1928-01-31,-0.003339723,-0.005101366,0.03244115,0.03064184,-0.005096263,17.57,41155932.800000004,593.0,40895657.400000006,582.0
26,1928-02-29,-0.01447756,-0.01811899,-0.02250801,-0.02448925,-0.01764371,17.26,40298678.6,589.0,40787075.400000006,584.0
27,1928-03-31,0.09047843,0.08558162,0.07158329000000001,0.06760094,0.108343,19.13,43946023.2,587.0,40067043.9,580.0
28,1928-04-30,0.04384581,0.04208157,0.08746559,0.08576217,0.03240983,19.75,45761043.5,588.0,43743364.2,580.0
29,1928-05-31,0.01769032,0.01395029,0.03759075,0.03541065,0.01265823,20.0,46689799.900000006,597.0,45704880.5,586.0
30,1928-06-30,-0.04524517,-0.05028869,-0.06907351,-0.07289238,-0.0405,19.19,44600923.6,592.0,46410369.6,587.0
31,1928-07-31,0.009399799,0.00762611,0.003046699,0.001089561,0.01250651,19.43,45217671.800000004,601.0,44527037.2,588.0
32,1928-08-31,0.07020616,0.06618632,0.05839567,0.05632513,0.0741122,20.87,48489919.6,605.0,45199679.6,598.0
33,1928-09-29,0.03149783,0.0280404,0.04924411,0.04611034,0.02395783,21.37,50127369.2,612.0,48254739.6,602.0
34,1928-10-31,0.01922795,0.01765021,0.01746921,0.01575923,0.01450632,21.68,51252490.7,617.0,49894470.300000004,607.0
35,1928-11-30,0.1214999,0.1163827,0.1152025,0.1128968,0.1199262,24.28,57564519.2,625.0,51155984.900000006,612.0
36,1928-12-31,0.005557177,0.001348304,-0.005551713000000001,-0.00970491,0.002883031,24.35,59829707.900000006,630.0,57315574.0,617.0
37,1929-01-31,0.05393473,0.05234604,0.0335256,0.03082466,0.05708419,25.74,63751694.900000006,637.0,59630158.400000006,621.0
38,1929-02-28,-0.0004461388,-0.003385589,0.006486533,0.004748855000000001,-0.005827506000000001,25.59,62941161.0,642.0,63429030.1,629.0
39,1929-03-28,-0.007808392000000001,-0.01179483,-0.03210543,-0.03549007,-0.002344666,25.53,62898768.0,643.0,62706827.800000004,634.0
40,1929-04-30,0.01717913,0.01579548,0.01402353,0.01207448,0.01605954,25.94,65326754.1,664.0,62697288.0,641.0
41,1929-05-31,-0.05992296,-0.06397036,-0.09104576,-0.09312268,-0.04279106,24.83,62300380.6,672.0,64994343.6,654.0
42,1929-06-29,0.1015726,0.09807518,0.07342805,0.0697913,0.1123641,27.62,69380855.4,678.0,62245727.300000004,667.0
43,1929-07-31,0.04595761,0.04414874,0.01856137,0.01631692,0.04561912,28.88,72706424.4,692.0,68940596.0,670.0
44,1929-08-30,0.08534303,0.08195264000000001,0.02836806,0.026536,0.09799169,31.71,80134353.8,698.0,72311128.10000001,681.0
45,1929-09-30,-0.05045466,-0.05323604,-0.04373016,-0.04704689,-0.04888048,30.16,76152615.4,710.0,79339540.4,691.0
46,1929-10-31,-0.1966836,-0.1985132,-0.2121448,-0.2142566,-0.1992706,24.15,61913687.0,695.0,75182027.9,680.0
47,1929-11-27,-0.1238121,-0.1279924,-0.1225332,-0.1247384,-0.1337474,20.92,54017414.900000006,714.0,61290884.900000006,685.0
48,1929-12-31,0.01639001,0.01077326,-0.02559807,-0.03255894,0.02533461,21.45,56455416.7,720.0,53788989.400000006,706.0
49,1930-01-31,0.05840661,0.05580596,0.1098263,0.106711,0.06247086,22.79,60429023.800000004,728.0,56415086.2,717.0
50,1930-02-28,0.02824166,0.02434828,0.03359858,0.03138645,0.02150066,23.28,61898780.900000006,727.0,60372980.800000004,722.0
51,1930-03-31,0.07463142,0.07057096,0.1037543,0.09916119,0.0798969,25.14,66833297.800000004,739.0,61767854.2,723.0
52,1930-04-30,-0.0205411,-0.02246035,-0.04159979,-0.04410921,-0.009546540000000001,24.9,65542319.1,745.0,66460779.800000004,731.0
53,1930-05-29,-0.01401008,-0.01761061,-0.03722677,-0.03950027,-0.01646586,24.49,65184314.1,745.0,65370659.900000006,739.0
54,1930-06-30,-0.1599798,-0.1642593,-0.188159,-0.1929114,-0.164557,20.46,54435394.1,730.0,64478754.0,719.0
55,1930-07-31,0.04196365,0.03952891,0.03763061,0.03418324,0.03665689,21.21,57849321.2,740.0,54409532.6,723.0
56,1930-08-29,0.003662904,-0.0005810863000000001,-0.01731935,-0.01981476,0.007543611,21.37,58228874.7,737.0,57605096.0,732.0
57,1930-09-30,-0.1248049,-0.1294385,-0.1504754,-0.1551305,-0.1300889,18.59,50299775.6,732.0,57629259.6,725.0
58,1930-10-31,-0.08657879,-0.08912858,-0.09605711,-0.09885472000000001,-0.0887574,16.94,46291111.1,739.0,50172735.800000004,724.0
59,1930-11-29,-0.02805652,-0.0319168,-0.02412809,-0.02662937,-0.02184179,16.57,45053815.7,730.0,46214066.300000004,726.0
60,1930-12-31,-0.07773924,-0.08443576,-0.1368458,-0.1433342,-0.07423054,15.34,41641850.900000006,736.0,44889659.800000004,722.0
61,1931-01-31,0.06378046,0.06105814,0.1410915,0.1374492,0.04889179,16.09,44233807.2,732.0,41594577.7,726.0
62,1931-02-28,0.1096945,0.1047697,0.1567526,0.1543898,0.1143567,17.93,48937324.800000004,738.0,44202733.5,727.0
63,1931-03-31,-0.06286591,-0.06799862,-0.06187143,-0.06674775,-0.06915784,16.69,45502731.0,733.0,48525478.5,728.0
64,1931-04-30,-0.100219,-0.1023665,-0.1508703,-0.1532774,-0.09586579,15.09,40867246.900000006,731.0,45324300.400000006,722.0
65,1931-05-29,-0.1338355,-0.1383846,-0.1403792,-0.1426025,-0.1371769,13.02,35352945.5,735.0,40844756.1,724.0
66,1931-06-30,0.1403397,0.1331774,0.1821697,0.1763926,0.1390169,14.83,40049272.800000004,731.0,35307946.9,725.0
67,1931-07-31,-0.06643803,-0.06902687,-0.07021436,-0.07281115,-0.07417397,13.73,37260591.6,729.0,39996463.6,723.0
